feature_name,feature_importance,sensor,agg,axis
"fBodyAcc-bandsEnergy()-17,32.1",0.000455329638871718,fBodyAcc,bandsEnergy(),"17,32.1"
"fBodyGyro-bandsEnergy()-1,24.1",0.0004511548162617946,,,
tBodyAcc-mad()-Y,0.0004509880964370535,tBodyAcc,mad(),Y
tBodyAccMag-mean(),0.0004439792384022614,tBodyAccMag,mean(),
fBodyBodyGyroMag-skewness(),0.00044108608464613953,fBodyBodyGyroMag,skewness(),
fBodyAccJerk-energy()-Z,0.00043198484492253835,fBodyAccJerk,energy(),Z
fBodyBodyGyroJerkMag-skewness(),0.0004280631905852956,fBodyBodyGyroJerkMag,skewness(),
"tBodyGyroJerk-arCoeff()-X,2",0.000425686514290728,tBodyGyroJerk,arCoeff(),"X,2"
"fBodyGyro-bandsEnergy()-25,32.2",0.00042316235306868533,,,
"fBodyGyro-bandsEnergy()-17,32.1",0.00042175970212187573,,,
fBodyGyro-meanFreq()-Z,0.00041434478014902674,fBodyGyro,meanFreq(),Z
"tBodyAccJerk-arCoeff()-Z,1",0.00041084162369588346,tBodyAccJerk,arCoeff(),"Z,1"
tBodyGyroJerk-mad()-Y,0.0004092753045238819,tBodyGyroJerk,mad(),Y
"fBodyGyro-bandsEnergy()-1,16.1",0.00040779917049569534,,,
tBodyAcc-entropy()-Z,0.000400543500388554,tBodyAcc,entropy(),Z
fBodyGyro-entropy()-Y,0.00039975540289136026,fBodyGyro,entropy(),Y
fBodyAccJerk-meanFreq()-X,0.00039778967672466693,fBodyAccJerk,meanFreq(),X
fBodyGyro-min()-Z,0.0003969352353168082,fBodyGyro,min(),Z
tBodyGyro-mean()-Z,0.0003967334770885339,tBodyGyro,mean(),Z
"fBodyGyro-bandsEnergy()-25,48",0.00039670016276563885,fBodyGyro,bandsEnergy(),"25,48"
"fBodyGyro-bandsEnergy()-25,48",0.00039670016276563885,fBodyGyro,bandsEnergy(),"25,48"
"fBodyGyro-bandsEnergy()-25,48",0.00039670016276563885,fBodyGyro,bandsEnergy(),"25,48"
tBodyGyroJerk-energy()-Z,0.000396474400584087,tBodyGyroJerk,energy(),Z
"fBodyAccJerk-bandsEnergy()-25,48",0.0003911381360646684,fBodyAccJerk,bandsEnergy(),"25,48"
fBodyAcc-maxInds-Y,0.0003890076305898465,fBodyAcc,maxInds,Y
fBodyGyro-mad()-Y,0.0003875372639332776,fBodyGyro,mad(),Y
fBodyBodyAccJerkMag-max(),0.0003874098553768626,fBodyBodyAccJerkMag,max(),
fBodyBodyAccJerkMag-kurtosis(),0.0003840337192674008,fBodyBodyAccJerkMag,kurtosis(),
tGravityAcc-iqr()-Y,0.00038060558327018953,tGravityAcc,iqr(),Y
tBodyGyro-sma(),0.0003770181035718394,tBodyGyro,sma(),
fBodyGyro-skewness()-Y,0.0003767291484231482,fBodyGyro,skewness(),Y
"fBodyAccJerk-bandsEnergy()-1,24.2",0.0003752811306620466,fBodyAccJerk,bandsEnergy(),"1,24.2"
tBodyAccJerk-entropy()-Y,0.00037457466229593166,tBodyAccJerk,entropy(),Y
tBodyGyroJerkMag-iqr(),0.00037448934650541945,tBodyGyroJerkMag,iqr(),
fBodyAcc-std()-Y,0.00037368266651623843,fBodyAcc,std(),Y
"fBodyGyro-bandsEnergy()-49,56",0.00037288277896705595,fBodyGyro,bandsEnergy(),"49,56"
